ID,score
1,3.61
2,5.94
3,5.74
4,5.24
5,3.83
6,5.43
7,5.4
8,3.73
9,5.08
10,5.82
11,4.82
12,7.445
13,3.0
14,5.48
15,4.01
16,3.65
17,3.23
18,9.09
19,5.73
20,5.37
21,7.555000000000001
22,9.076666666666668
23,5.76
24,3.4
25,5.42
26,9.303333333333335
27,4.3
28,5.74
29,4.38
30,4.82
31,9.17
32,9.08
33,7.614166666666666
34,4.56
35,3.99
36,4.89
37,5.49
38,3.13
39,7.529999999999999
40,5.92
41,5.23
42,3.61
43,7.67
44,3.72
45,4.74
46,5.8
47,4.26
48,4.01
49,4.92
50,7.355
51,5.93
52,3.85
53,4.53
54,4.22
55,4.23
56,5.64
57,9.211666666666666
58,2.66
59,5.93
60,9.21
61,5.84
62,5.99
63,7.595
64,4.13
65,2.93
66,5.98
67,5.85
68,4.16
69,4.13
70,5.72
71,5.87
72,3.3
73,5.44
74,5.48
75,4.63
76,4.31
77,5.6
78,5.12
79,9.41
80,5.71
81,5.57
82,4.91
83,9.06
84,4.73
85,7.145
86,5.65
87,7.67
88,4.74
89,5.3
90,5.7
91,9.08
92,3.64
93,7.475
94,7.590833333333332
95,4.58
96,3.25
97,5.93
98,9.06
99,5.72
100,4.98
101,5.99
102,4.99
103,9.35
104,5.16
105,5.46
106,7.456333333333333
107,3.91
108,3.45
109,3.77
110,7.58
111,9.06
112,9.06
113,4.52
114,4.32
115,9.44
116,3.71
117,4.74
118,3.17
119,3.97
120,9.24
121,3.6
122,7.52275
123,7.279999999999999
124,9.02
125,3.25
126,4.65
127,4.5
128,5.57
129,5.37
130,4.81
131,4.9
132,5.0
133,9.17
134,5.14
135,4.99
136,4.7
137,4.99
138,4.79
139,5.98
140,5.51
141,4.14
142,5.62
143,5.32
144,7.57
145,5.52
146,3.95
147,5.79
148,5.19
149,9.185
150,5.43
151,5.51
152,5.06
153,7.5875
154,9.27
155,9.45
156,5.39
157,3.1
158,2.87
159,9.46
160,4.34
161,5.32
162,5.29
163,7.515000000000001
164,9.426666666666668
165,7.535
166,4.04
167,4.68
168,4.18
169,5.44
170,9.325
171,9.01
172,5.4
173,3.65
174,4.07
175,5.9
176,4.76
177,4.39
178,4.71
179,7.555
180,5.91
181,9.01
182,4.5
183,5.55
184,4.04
185,5.24
186,4.11
187,4.11
188,5.25
189,5.86
190,5.5
191,4.27
192,6.0
193,7.528333333333333
194,3.85
195,7.511666666666667
196,7.629583333333333
197,3.82
198,4.73
199,9.085
200,2.09
201,5.04
202,7.797833333333333
203,7.524166666666666
204,7.75
205,7.3625
206,5.75
207,4.89
208,4.94
209,9.35
210,4.92
211,7.5649999999999995
212,9.47
213,4.88
214,7.52
215,3.83
216,5.94
217,9.09
218,9.09
219,7.555
220,9.15
221,3.43
222,3.47
223,5.89
224,5.87
225,5.73
226,5.92
227,5.91
228,9.131666666666666
229,5.98
230,3.17
231,3.78
232,7.775
233,5.15
234,2.99
235,7.492857142857143
236,9.4025
237,9.16
238,5.13
239,5.49
240,4.76
241,9.02
242,5.18
243,7.52
244,5.87
245,4.59
246,5.43
247,4.71
248,5.66
249,5.53
250,4.97
251,3.87
252,5.25
253,5.36
254,4.45
255,7.5600000000000005
256,3.39
257,4.78
258,5.13
259,5.37
260,3.17
261,7.6575
262,5.97
263,7.565
264,9.0
265,5.92
266,3.26
267,4.96
268,2.26
269,4.46
270,7.585000000000001
271,7.4399999999999995
272,5.65
273,9.05
274,5.2
275,5.44
276,7.635
277,5.98
278,5.26
279,7.5575
280,5.44
281,5.97
282,5.93
283,5.51
284,5.72
285,4.32
286,7.68
287,5.03
288,9.232000000000001
289,5.09
290,7.609999999999999
291,7.4399999999999995
292,5.5
293,5.78
294,9.2575
295,5.99
296,4.04
297,7.5600000000000005
298,5.67
299,9.035
300,5.2
301,5.02
302,3.18
303,3.53
304,5.89
305,3.94
306,5.36
307,5.85
308,5.96
309,4.58
310,3.88
311,5.33
312,5.47
313,5.6
314,9.223333333333334
315,5.99
316,5.79
317,5.64
318,5.32
319,5.59
320,9.4
321,9.026666666666666
322,5.92
323,5.96
324,3.07
325,9.35
326,9.24
327,9.39
328,7.59
329,9.054
330,3.38
331,5.51
332,5.16
333,5.71
334,7.67
335,4.96
336,5.43
337,5.64
338,4.34
339,4.48
340,3.84
341,5.52
342,3.45
343,9.07
344,4.29
345,4.9
346,2.22
347,5.17
348,5.78
349,5.01
350,3.99
351,4.45
352,7.48
353,4.69
354,5.21
355,4.84
356,5.75
357,7.468333333333333
358,7.630000000000001
359,5.44
360,3.55
361,3.88
362,5.98
363,5.62
364,4.95
365,3.75
366,4.37
367,4.93
368,3.33
369,5.78
370,3.54
371,7.665
372,5.92
373,4.69
374,5.98
375,3.48
376,7.371666666666666
377,4.98
378,5.13
379,3.98
380,9.21
381,5.8
382,4.17
383,3.93
384,4.86
385,7.555
386,9.3725
387,3.94
388,4.02
389,5.06
390,2.15
391,3.41
392,4.79
393,9.375
394,4.83
395,5.59
396,7.6225
397,9.35
398,5.98
399,3.27
400,5.98
401,4.85
402,9.13
403,9.07
404,9.02
405,7.1
406,5.09
407,4.77
408,3.63
409,9.005
410,9.05
411,4.42
412,4.1
413,5.34
414,5.49
415,4.34
416,9.27
417,3.61
418,5.7
419,4.84
420,4.36
421,7.655
422,4.92
423,5.92
424,5.27
425,4.87
426,3.39
427,5.97
428,5.51
429,5.27
430,6.0
431,5.61
432,5.66
433,7.475
434,7.74
435,7.76
436,5.96
437,4.59
438,3.76
439,5.12
440,4.89
441,7.6899999999999995
442,4.8
443,4.74
444,4.52
445,2.76
446,3.51
447,7.5525
448,5.94
449,4.73
450,3.47
451,5.57
452,5.12
453,1.84
454,7.5475
455,5.64
456,7.800000000000001
457,4.85
458,4.4
459,5.44
460,7.485
461,5.64
462,5.95
463,9.13
464,9.06
465,4.84
466,3.29
467,5.33
468,7.693333333333333
469,5.04
470,5.1
471,3.94
472,4.75
473,3.14
474,9.05
475,4.15
476,5.35
477,9.212
478,5.93
479,4.88
480,5.99
481,9.01
482,5.43
483,7.47
484,5.65
485,5.25
486,5.86
487,3.32
488,9.195
489,5.02
490,9.06
491,7.475
492,7.595000000000001
493,5.75
494,4.52
495,5.67
496,2.97
497,2.23
498,4.78
499,3.69
500,5.15
501,5.32
502,5.74
503,7.615
504,7.49
505,5.74
506,5.35
507,9.003333333333334
508,5.68
509,5.13
510,5.71
511,5.59
512,9.4
513,5.19
514,5.4
515,5.66
516,7.620000000000001
517,5.6
518,5.46
519,5.98
520,3.52
521,4.1
522,3.28
523,7.442500000000001
524,4.46
525,5.56
526,5.9
527,4.86
528,5.42
529,5.57
530,9.305
531,4.08
532,5.72
533,4.77
534,5.6
535,7.705
536,4.2
537,3.81
538,4.93
539,4.97
540,5.32
541,7.460000000000001
542,5.25
543,5.59
544,5.43
545,9.024
546,5.49
547,4.27
548,9.36
549,7.74
550,5.51
551,9.141666666666666
552,4.18
553,4.2
554,3.37
555,5.23
556,2.97
557,4.71
558,5.54
559,3.57
560,7.785
561,3.76
562,1.96
563,5.81
564,5.28
565,2.09
566,3.52
567,5.15
568,7.545
569,7.613333333333333
570,3.5
571,5.6
572,3.97
573,5.71
574,5.85
575,4.36
576,5.52
577,5.64
578,7.52
579,2.91
580,7.5649999999999995
581,5.61
582,3.06
583,5.85
584,9.107999999999999
585,3.63
586,5.66
587,7.637499999999999
588,7.41
589,7.765000000000001
590,9.04
591,4.69
592,3.24
593,4.59
594,5.85
595,3.97
596,3.28
597,5.19
598,3.96
599,5.93
600,4.36
601,2.67
602,3.57
603,5.6
604,3.28
605,3.22
606,5.98
607,7.515
608,9.07
609,5.78
610,5.32
611,9.0
612,5.8
613,3.65
614,7.585
615,7.605
616,5.61
617,2.38
618,3.29
